field_domain_id,field_site_id,field_site_name,field_site_type,field_site_subtype,field_colocated_site,field_site_host,field_site_url,field_nonneon_research_allowed,field_access_details,field_neon_field_operations_office,field_latitude,field_longitude,field_geodetic_datum,field_utm_northing,field_utm_easting,field_utm_zone,field_site_county,field_site_state,field_site_country,field_mean_elevation_m,field_minimum_elevation_m,field_maximum_elevation_m,field_mean_annual_temperature_C,field_mean_annual_precipitation_mm,field_dominant_wind_direction,field_mean_canopy_height_m,field_dominant_nlcd_classes,field_domint_plant_species,field_usgs_huc,field_watershed_name,field_watershed_size_km2,field_lake_depth_mean_m,field_lake_depth_max_m,field_tower_height_m,field_usgs_geology_unit,field_megapit_soil_family,field_soil_subgroup,field_avg_number_of_green_days,field_avg_grean_increase_doy,field_avg_green_max_doy,field_avg_green_decrease_doy,field_avg_green_min_doy,field_phenocams,field_number_tower_levels,neon_url
D01,BART,Bartlett Experimental Forest NEON,Gradient Terrestrial,,,"Northern Research Station, US Forest Service",https://www.nrs.fs.fed.us/ef/locations/nh/bartlett/,Yes,Bartlett Experimental Forest has very limited staff and the USFS personnel are NOT available to support external researchers. Permitting requests for research activities should be submitted at least 6 months prior to planned start.,Domain 01 Support Facility,44.063889,-71.287375,WGS84,4881511.552,316812.1595,19N,Carroll,NH,USA,274,230,655,6.2,1325,S,23,Deciduous Forest|Evergreen Forest|Mixed Forest,Fagus grandifolia (American beech)|Tsuga canadensis (Eastern hemlock)|Acer rubrum (Red maple),,,,,,35,NHJc1b;0,"Coarse-loamy, isotic, frigid.  Aquic Haplorthods.",Aquic Haplorthods,180,120,170,220,300,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D01.BART.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D01.BART.DP1.00042),6,https://www.neonscience.org/field-sites/bart
D11,CLBJ,Lyndon B. Johnson National Grassland NEON,Core Terrestrial,,PRIN,US Forest Service,https://www.fs.usda.gov/detail/texas/about-forest/districts/?cid=fswdev3_008440,Very Limited,Researchers should coordinate directly with the US Forest Service for permitting and approval. Site host is very limited to external research requests.,Domain 11 Support Facility,33.40123,-97.57,WGS84,3696682.441,632982.2183,14N,Wise,TX,USA,272,258,343,17.5,926,S,13,Deciduous Forest|Grassland/Herbaceous,Quercus stellata (post oak)|Quercus marilandica (blackjack oak),,,,,,22,TXKa;0,,Udic Paleustalfs,260,60|215,135|230,175|265,295|320,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D11.CLBJ.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D11.CLBJ.DP1.00042),5,https://www.neonscience.org/field-sites/clbj
D06,KONZ,Konza Prairie Biological Station NEON,Core Terrestrial,,,"The Nature Conservancy, Kansas State University",https://kpbs.konza.k-state.edu/scientist-information/permits.html,Yes,The Nature Conservancy and Konza Prairie Biological Station (KSU) welcomes and encourages research use that fits their mission and is compatible with their abilities as a host. Please plan on at more than two weeks advance notice to request and plan site access.,Domain 06 Support Facility,39.100774,-96.563075,WGS84,4330786.534,710729.798,14N,Riley,KS,USA,414,333,443,12.4,870,SSW,1.5,Deciduous Forest|Grassland/Herbaceous,Cornus drummondii (Roughleaf Dogwood)|Schizachyrium scoparium (Little Bluestem)|Andropogon gerardii (Big Bluestem),,,,,,8,KSPc;0,"Fine, smectitic, mesic. Pachic Udertic Argiustolls.",Pachic Udertic Argiustolls,210,90,160,210,300,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D06.KONZ.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D06.KONZ.DP1.00042),4,https://www.neonscience.org/field-sites/konz
D07,ORNL,Oak Ridge NEON,Core Terrestrial,,WALK,Department of Energy,https://www.ornl.gov/division/esd,Very Limited,There is currently no system in place to authorize access for additional research activities to this federally secure area. Coordinate directly with site manager.,Domain 07 Support Facility,35.964128,-84.282588,WGS84,3983383.087,745052.4354,16N,Anderson,TN,USA,344,230,356,14.4,1340,WNW,28,Deciduous Forest|Evergreen Forest|Pasture/Hay,Acer rubrum (red maple)|Nyssa sylvatica (sour gum)|Quercus monta (chestnut oak),,,,,,39,TNOnc;10|TNCAcr;10,"Fine, kaolinitic, thermic. Typic Paleudults.",Typic Paleudults,225,90,140,210,315,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D07.ORNL.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D07.ORNL.DP1.00042),6,https://www.neonscience.org/field-sites/ornl
D03,OSBS,Ordway-Swisher Biological Station NEON,Core Terrestrial,,BARC|SUGG,University of Florida Foundation,https://ordway-swisher.ufl.edu/ResearchUse.aspx,Yes,This area is a very active research community and will required a site research permit.,Domain 03 Support Facility,29.689282,-81.993431,WGS84,3284767.489,403886.418,17N,Putnam,FL,USA,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),,,,,,35,FLPOc;0,,Typic Quartzipsam-ments,245,70,150,190,315,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.OSBS.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.OSBS.DP1.00042),6,https://www.neonscience.org/field-sites/osbs
D17,SJER,San Joaquin Experimental Range NEON,Core Terrestrial,,,US Forest Service,https://www.fs.fed.us/psw/ef/san_joaquin/,Yes,Researchers should coordinate directly with the US Forest Service for permitting and approval.,Domain 17 Support Facility,37.10878,-119.73228,WGS84,4110433.937,257213.9752,11N,Madera,CA,USA,400,252,502,16.4,540,NW,21,Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub,Quercus douglasii (blue oak)|Erodium botrys (broadleaf filaree)|Bromus diandrus (great brome),,,,,,39,CAgrMZ3;0,,Psammentic Haploxerolls,250,270,65,95,155,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D17.SJER.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D17.SJER.DP1.00042),6,https://www.neonscience.org/field-sites/sjer
D14,SRER,Santa Rita Experimental Range NEON,Core Terrestrial,,,University of Arizona,https://taac.arizona.edu/sites/taac.arizona.edu/files/SRER%20Range%20Use%20Agreement%202014%20revised%5B1%5D.pdf,Yes,"SRER encourages research activities that do not conflict with on-going research. Researchers should apply directly for a site research permit. All proposed actions will be reviewed for potential impacts to cultural resources, endangered species and other research activities.",Domain 14 Support Facility,31.91068,-110.83549,WGS84,3530547.118,515553.9031,12N,Pima,AZ,USA,997,897,1461,19.3,346,ESE,2,Shrub/Scrub,Larrea tridentata (creosote bush)|Prosopis veluti (velvet mesquite)|Parkinsonia florida (blue palo verde),,,,,,8,AZQ;0,,Typic Torrifluvents,247,87|186,139|215,189|259,219|334,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D14.SRER.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D14.SRER.DP1.00042),4,https://www.neonscience.org/field-sites/srer
D08,TALL,Talladega National Forest NEON,Core Terrestrial,,MAYF,Talladega National Forest,https://www.fs.usda.gov/detail/alabama/about-forest/districts/?cid=fsbdev3_002555,Yes,Researchers should coordinate directly with the US Forest Service for permitting and approval.,Domain 08 Support Facility,32.95047,-87.393259,WGS84,3645863.573,463241.7192,16N,Bibb,AL,USA,166,63,179,17.2,1383,N,25,Deciduous Forest|Evergreen Forest|Mixed Forest,Quercus montana (Chestnut oak)|Liriodendron tulipifera (tulip tree)|Cornus florida (flowering dogwood),,,,,,35,ALKg;1|ALKck;1,"Fine, loamy, siliceous, subactive, thermic. Typic Hapludults.",Typic Hapludults,255,75,135,195,330,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D08.TALL.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D08.TALL.DP1.00042),5,https://www.neonscience.org/field-sites/tall
D05,UNDE,University of Notre Dame Environmental Research Center NEON,Core Terrestrial,,,University of Notre Dame,https://underc.nd.edu/underc-west/research-opportunities/,Yes,"UNDERC encourages research; subject to evaluation based on potential for scientific advancement, impact on the site, and consistency and compatibility with other designated, non-research, uses of the property.",Domain 05 Support Facility,46.23391,-89.537254,WGS84,5123162.886,304366.9502,16N,Gogebic,MI,USA,521,501,538,4.3,802,SSW,24,Deciduous Forest|Mixed Forest|Woody Wetlands,Acer saccharum (sugar maple)|Abies balsamea (balsam fir)|Acer rubrum (red maple),,,,,,39,MIAgn;0,"Coarse, loamy, mixed, superactive, frigid. Argic Fragiaquods.",Argic Fragiaquods,165,120,170,215,285,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D05.UNDE.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D05.UNDE.DP1.00042),6,https://www.neonscience.org/field-sites/unde
D16,WREF,Wind River Experimental Forest NEON,Core Terrestrial,,,"Pacific Northwest Research Station, US Forest Service",https://www.fs.usda.gov/pnw/,Yes,Reseachers should coordinate with the site manager and submit a site research permit. Various on-going research projects to be aware of at site.,Domain 16 Support Facility,45.82049,-121.95191,WGS84,5074636.87,581417.8024,10N,Skamania,WA,USA,351,300,1008,9.2,2225,NW,50,Evergreen Forest,Gaultheria shallon (salal)|Psuedotsuga menziesii (douglas fir)|Tsuga heterophylla (western hemlock),,,,,,74,WAQv;0,"Medial, amorphic, mesic. Typic Hapludands.",Typic Hapludands,175,115,165,210,290,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D16.WREF.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D16.WREF.DP1.00042),8,https://www.neonscience.org/field-sites/wref
